timestamp_iso,elapsed_s,node,source,far_threshold_cm,near_threshold_cm,far_cm,far_occupied,near_cm,near_occupied,queue,local_queue,remote_queue,incoming_count,passed_count,remote_source,remote_stale,green_side,phase,emergency,priority_side,lights_a,lights_b,tx_backend,payload,rssi_dbm,snr_db,truth_any_vehicle,truth_far,truth_near,truth_note,event_label,raw_line
2026-05-19 18:02:09,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Log mode set to SUMMARY
2026-05-19 18:02:10,1,B,LORA_STALE,100,100,999,0,208,0,,0,0,,,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=999.0cm/FREE | near=208.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:10,1.5,A,LORA_STALE,100,100,999,0,999,0,0,0,0,0,0,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:11,2,B,LORA_STALE,100,100,999,0,999,0,,0,0,,,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:11,2.5,A,LORA_STALE,100,100,999,0,999,0,0,0,0,0,0,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:12,3,B,LORA_STALE,100,100,999,0,999,0,,0,0,,,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:12,3.5,A,LORA_STALE,100,100,999,0,231.7,0,0,0,0,0,0,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=231.7cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:13,4,B,LORA_STALE,100,100,205.9,0,999,0,,0,0,,,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=205.9cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:13,4.5,A,LORA_STALE,100,100,999,0,999,0,0,0,0,0,0,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:14,5,B,LORA_STALE,100,100,198.2,0,999,0,,0,0,,,LORA_STALE,ON,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=198.2cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_STALE | stale=ON | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:14,5.5,A,LORA_RADIO,100,100,999,0,999,0,0,0,0,0,0,LORA_RADIO,OFF,A,GREEN,OFF,A,GREEN,RED,LORA,Q=0;RQ=0,-118,8.2,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:15,6,B,LORA_RADIO,100,100,999,0,999,0,,0,0,,,LORA_RADIO,OFF,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:15,6.5,A,LORA_RADIO,100,100,999,0,999,0,0,0,0,0,0,LORA_RADIO,OFF,A,GREEN,OFF,A,GREEN,RED,LORA,Q=0;RQ=0,-106,-3.1,0,0,0,A road empty at start,true_negative,A STATUS | far=999.0cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
2026-05-19 18:02:16,7,B,LORA_RADIO,100,100,260.1,0,999,0,,0,0,,,LORA_RADIO,OFF,A,GREEN,OFF,A,GREEN,RED,,,,,0,0,0,"road empty, settling",true_negative,B STATUS | far=260.1cm/FREE | near=999.0cm/FREE | thresholds=100.0/100.0 | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=A | phase=GREEN | emergency=OFF | priority=A | lights=A:GREEN B:RED
