timestamp_iso,elapsed_s,node,source,far_threshold_cm,near_threshold_cm,sensor_filter,sensor_health,a_queue,b_queue,a_far_cm,a_far_occupied,a_near_cm,a_near_occupied,b_far_cm,b_far_occupied,b_near_cm,b_near_occupied,far_cm,far_occupied,near_cm,near_occupied,queue,local_queue,remote_queue,remote_source,remote_stale,green_side,phase,emergency,lights_a,lights_b,truth_any_vehicle,truth_far,truth_near,truth_note,event_label,raw_line
2026-05-27T18:25:00,0,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,149,0,144,0,149,0,144,0,149,0,144,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=0 filter=median3_debounce2 thresholds=100.0/100.0 far=149 occF=0 near=144 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:01,1,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,131,0,126,0,128,0,123,0,128,0,123,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=1 filter=median3_debounce2 thresholds=100.0/100.0 far=128 occF=0 near=123 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:02,2,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,130,0,137,0,132,0,136,0,132,0,136,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=2 filter=median3_debounce2 thresholds=100.0/100.0 far=132 occF=0 near=136 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:03,3,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,137,0,130,0,136,0,128,0,136,0,128,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=3 filter=median3_debounce2 thresholds=100.0/100.0 far=136 occF=0 near=128 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:04,4,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,150,0,150,0,149,0,153,0,149,0,153,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=4 filter=median3_debounce2 thresholds=100.0/100.0 far=149 occF=0 near=153 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:05,5,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,134,0,153,0,135,0,152,0,135,0,152,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=5 filter=median3_debounce2 thresholds=100.0/100.0 far=135 occF=0 near=152 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:06,6,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,120,0,143,0,120,0,146,0,120,0,146,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=6 filter=median3_debounce2 thresholds=100.0/100.0 far=120 occF=0 near=146 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:07,7,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,130,0,137,0,133,0,137,0,133,0,137,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=7 filter=median3_debounce2 thresholds=100.0/100.0 far=133 occF=0 near=137 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:08,8,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,131,0,140,0,134,0,140,0,134,0,140,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=8 filter=median3_debounce2 thresholds=100.0/100.0 far=134 occF=0 near=140 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
2026-05-27T18:25:09,9,node_b,road_data_logger_,100,100,median3_debounce2,"F:OK,N:OK",0,0,127,0,134,0,125,0,133,0,125,0,133,0,0,0,0,node_a,0,A,GREEN_A,0,G,R,0,0,0,empty road,true_negative,[B] t=9 filter=median3_debounce2 thresholds=100.0/100.0 far=125 occF=0 near=133 occN=0 queue=0 truth=0 event=true_negative remote_stale=0
